NOTE,,,,,,,this is the first date of contiguous male chorus where later there is female chatter or young >4,inc start = hatch date minus 12,date hatchlings first heard >4,First date Fledglings >4,Last date Fledglings >4,,,,,
Site ID,Name_old,Name,Group,Outcome,Breeding Type,First Rec,P/S,I,B,F,D,A,Last Rec,Skip Site,,For single straight forward
6199,2020 Hay Landfill,2020 Hay Landfill,Solano County,Successful,Complex,2/12/2020,"4/3/2020
5/13/2020 (m)","4/15/2020
5/22/2020 (m)","4/27/2020
6/3/2020 (m)","5/11/2020
6/21/2020 (m)","6/12/2020
7/3/2020 (m)",ND,7/10/2020,,,
7650,2020 Iron Point,2020 Iron Point,Iron Point,n/a,No Colony,4/19/2020,ND,ND,ND,ND,ND,ND,8/5/2020,,,
6404,2020 Markham Ravine,2020 Markham Ravine,Markham Ravine,Partially Abandoned,Simple,4/28/2020,4/29/2020,5/7/2020,5/19/2020,5/30/2020,6/11/2020,5/20/2020 (p),6/24/2020,,,
18572,2020 Ohlone - Santa Lucia Preserve,2020 Ohlone,Monterey,Successful,Simple,3/25/2020,4/27/2020,4/22/2020,5/4/2020,5/12/2020,6/14/2020,ND,7/18/2020,,,
2915,2020 Rush Ranch,2020 Rush Ranch,Solano County,n/a,No Colony,2/12/2020,ND,ND,ND,ND,ND,ND,7/10/2020,,,
24130,2021 Colusa NWR 27-1,2021 Colusa NWR T27.1,Colusa NWR,Successful,Simple,4/21/2021,5/11/2021,5/23/2021,6/4/2021,ND,6/18/2021,ND,6/26/2021,,,
24221,2021 Colusa NWR 27-2,2021 Colusa NWR T27.2,Colusa NWR,Unknown,Unknown,4/21/2021,5/18/2021,6/3/2021,6/15/2021,post,post,ND,6/21/2021,,,
21652,2021 Conaway East,2021 Conaway East,Bob's Sites,Successful,Simple,5/20/2021,pre,5/16/2021,6/10/2021,6/20/2021,7/3/2021,ND,7/5/2021,,,
24652,2021 Conaway South,2021 Conaway South,Bob's Sites,Successful,Simple,5/20/2021,5/21/2021,5/29/2021,6/10/2021,6/23/2021,6/29/2021,ND,7/5/2021,,,
21591,2021 Conaway West,2021 Conaway West,Bob's Sites,Successful,Simple,5/12/2021,pre,5/21/2021,6/2/2021,6/17/2021,6/26/2021,ND,6/28/2021,,,
21681,2021 Creed Road,2021 Denverton Creek,Solano County,n/a,No Colony,2/2/2021,ND,ND,ND,ND,ND,ND,5/12/2021,,,
24122,2021 Dagnino Pond,2021 Dagnino Pond,CNLM,n/a,No Colony,4/29/2021,ND,ND,ND,ND,ND,ND,7/12/2021,,,
21668,2021 Foley Ranch,2021 Foley Ranch,Bob's Sites,Successful,Multiple,5/4/2021,"pre
5/23/2021 (r)","4/30/2021
6/1/2021 (m)","5/12/2021
6/12/2021 (m)","5/24/2021
post (m)","6/12/2021
post (m)",ND,6/14/2021,,,
21688,2021 Hale Road 2,2021 Hale Road 2,Bob's Sites,Successful,Simple,5/4/2021,pre,5/2/2021,5/14/2021,5/28/2021,6/3/2021,ND,6/14/2021,,,
11101,2021 Hay Landfill,2021 Hay Landfill,Solano County,Unknown,Unknown,2/2/2021,3/31/2021,4/12/2021,4/24/2021,post,post,ND,5/8/2021,,,
24658,2021 Iron Point,2021 Iron Point,Iron Point,Abandoned,Unknown,2/2/2021,4/3/2021,ND,ND,ND,ND,4/22/2021,5/14/2021,,,
24606,2021 Kern 1,2021 Kern 1,Southern Sierra Research Station,Successful,Simple,4/9/2021,4/29/2021,5/19/2021,5/31/2021,ND,6/23/2021,ND,8/5/2021,,,
24544,2021 Kern 2,2021 Kern 2,Southern Sierra Research Station,n/a,No Colony,4/6/2021,ND,ND,ND,ND,ND,ND,7/30/2021,,,
24641,2021 Kern 3,2021 Kern 3,Southern Sierra Research Station,n/a,No Colony,4/6/2021,ND,ND,ND,ND,ND,ND,8/5/2021,,,
24655,2021 Kern 4,2021 Kern 4,Southern Sierra Research Station,Successful,Simple,4/19/2021,4/27/2021,4/26/2021,5/8/2021,5/27/2021,6/11/2021,ND,8/10/2021,,,
26534,2021 Kern 5,2021 Kern 5,Southern Sierra Research Station,Successful,Complex,4/27/2021,"pre
ND (m)",4/18/2021,"4/30/2021
5/28/2021 (m)","5/18/2021
6/9/2021 (m)","6/1/2021
6/16/2021 (m)",ND,8/17/2021,,,
26535,2021 Kern 6,2021 Kern 6,Southern Sierra Research Station,n/a,No Birds,5/1/2021,ND,ND,ND,ND,ND,ND,8/21/2021,,,
26536,2021 Kern 7,2021 Kern 7,Southern Sierra Research Station,Abandoned,Unknown,5/17/2021,pre,5/19/2021,5/31/2021,ND,ND,6/5/2021,9/1/2021,,,
26432,2021 Markham Ravine,2021 Markham Ravine,Markham Ravine,n/a,No Birds,4/30/2021,ND,ND,ND,ND,ND,ND,6/23/2021,,,
